cardName	textBoxOne	textBoxTwo	startingHealth	typeOne	typeTwo	artCredit	effectOne	effectTwo
Hunter	ATTACK: Opponent loses 4 Health. A Foe becomes Protected this round and next round.	#N/A	4	Attack	None	Julien Delval \nDominion: Allies \n(Hunter)	AttackPlayer, ProtectCard	""
Innkeeper	DEFEND: -4 Shield -> An Ally gets +4 Health and becomes Stunned this round.	#N/A	6	Defend	None	Eric Deschamps \nAdventures of the Forgotten Realm \n(Prosperous Innkeeper)	LoseShield, StunCard, HealAlly	""
Investor	DEFEND: This loses 2 Health -> You get +3 Health.	#N/A	4	Defend	None	Claus Stephan \nDominion: Renaissance \n(Patron)	HurtAlly, HealPlayer	""
Leprechaun	DEFEND: If you have exactly 7 Allies, +2 Sword and +2 Shield; otherwise you lose 2 Health.	#N/A	3	Defend	None	Brian Brinlee \nDominion: Nocturne \n(Leprechaun)	AddSword, AddShield, HurtController	""
Mercenary	ATTACK: -1 Action -> An Opponent or Foe loses 4 Health.	PLAY: Next round, -1 Sword and -1 Shield.	6	Attack	Play	Martin Hoffmann \nDominion: Dark Ages \n(Mercenary)	LoseAction, AttackAny	LoseNextSword, LoseNextShield
Minstrel	DEFEND: -2 Card -> Next round, +1 Action.	PLAY: +1 Action.	2	Defend	Play	Guillaume Ducos \nDominion: Dark Ages \n(Wandering Minstrel)	DiscardCard, AddNextAction	AddAction
Mob	ATTACK: -1 Card -> A Foe loses 1 Health per Health this has.	#N/A	3	Attack	None	Ryan Pancoast \nInnistrad: Midnight Hunt \n(Unruly Mob)	DiscardCard, AttackFoe	""
Ninja	ATTACK: One Foe with 2 Health or less loses 2 Health.	#N/A	3	Attack	None	Elisa Cella \nDominion: Rising Sun \n(Ninja)	AttackFoe, HealthOrLess	""
Partier	DEFEND: -5 Shield -> You get +1 Health per Ally you have.	ATTACK: -5 Sword -> Opponent loses 1 Health per Foe they have.	6	Defend	Attack	Jesper Ejsing \nInnistrad: Crimson Vow \n(Gluttonous Guest)	LoseShield, HealPlayer, PerTroop	LoseSword, AttackPlayer, PerTroop
Raider	ATTACK: -2 Shield -> A Foe with a Defend ability loses 3 Health.	#N/A	4	Attack	None	Jesse Mead \nDominion: Adventures \n(Raid)	LoseShield, AttackFoe, TargetDefendCard	""
Recruiter	DEFEND: +1 Action.	ATTACK: -2 Card -> Opponent loses 1 Health per Ally you have.	2	Defend	Attack	Julien Delval \nDominion: Renaissance \n(Recruiter)	AddAction	DiscardCard, AttackPlayer, PerTroop
Researcher	DEFEND: Next round, -1 Sword and -1 Shield.	PLAY: +2 Card.	3	Defend	Play	Lie Setiawan \nStrixhaven: School of Mages \n(Solve the Equation)	LoseNextSword, LoseNextShield	DrawCard
Royalty	DEFEND: -2 Shield -> Choose an Ally; you get +1 Health per 2 Health it has (round down).	#N/A	4	Defend	None	Kieran Yanner \nThrone of Eldraine \n(Kenrith, the Returned King)	LoseShield, HealPlayer	""
Security	DEFEND: -3 Sword -> Next round, +2 Shield.	PLAY: You get +3 Health.	3	Defend	Play	Eric J. Carter \nDominion \n(Sentry)	LoseSword, AddNextShield	HealPlayer
Skirmisher	ATTACK: -2 Sword -> An Opponent or Foe loses 2 Health.	PLAY: +1 Sword.	4	Attack	Play	Claus Stephan \nDominion: Allies \n(Skirmisher)	LoseSword, AttackAny	AddSword
Squire	DEFEND: -3 Shield -> Next round, +2 Sword.	PLAY: +1 Card.	4	Defend	Play	Anthony Plumbo \nIxalan \n(Seekers' Squire)	LoseShield, AddNextSword	DrawCard
Storyteller	DEFEND: -3 Sword -> You or an Ally gets +1 Health per Ally you have with an Attack ability.	#N/A	5	Defend	None	Claus Stephan \nDominion: Adventures \n(Storyteller)	LoseSword, HealAny, PerTroop	""
Trader	DEFEND: -1 Action -> Choose one: +2 Sword or +2 Shield.	PLAY: -1 Card for +1 Card.	6	Defend	Play	Elisa Cella \nDominion: Renaissance \n(Silk Merchant)	LoseAction, AddSword, AddShield	DiscardCard, DrawCard
Trickster	ATTACK: -1 Sword -> Opponent loses 3 Health. Next round, they get +1 Sword and +1 Shield.	#N/A	5	Attack	None	Mila Pesic \nThrone of Eldraine \n(Bog Naughty)	LoseSword, AttackPlayer, AddNextSword, AddNextShield	""
Vampire	DEFEND: -3 Shield -> You get +2 Health.	ATTACK: -3 Sword -> Opponent loses 2 Health.	7	Defend	Attack	Martin Hoffmann \nDominion: Nocturne \n(Vampire)	LoseShield, HealPlayer	LoseSword, AttackPlayer
Vassal	DEFEND: Another Ally loses 3 Health -> An Ally becomes Protected this round.	#N/A	5	Defend	None	Julien Delval \nDominion \n(Vassal)	HurtAlly, ProtectCard	""
