Game_Designer	by Thomas Tang (DZ)
Security_TextOne	DEFEND: -3 Sword -> Next round, +2 Shield.
Security_TextTwo	PLAY: You get +3 Health.
Investor	Investor
Investor_TextOne	DEFEND: This loses 2 Health -> You get +3 Health.
Gladiator	Gladiator
Gladiator_TextOne	ATTACK: -2 Sword -> A Foe with an Attack ability loses 3 Health.
Raider	Raider
Raider_TextOne	ATTACK: -2 Shield -> A Foe with a Defend ability loses 3 Health.
Guardian	Guardian
Guardian_TextOne	DEFEND: -1 Shield -> You or an Ally gets +1 Health.
Guardian_TextTwo	PLAY: An Ally becomes Protected this round.
Vampire	Vampire
Vampire_TextOne	DEFEND: -3 Shield -> You get +2 Health.
Vampire_TextTwo	ATTACK: -3 Sword -> Opponent loses 2 Health.
Innkeeper	Innkeeper
Innkeeper_TextOne	DEFEND: -4 Shield -> An Ally gets +4 Health and becomes Stunned this round.
Bureaucrat	Bureaucrat
Bureaucrat_TextOne	ATTACK: -4 Shield -> Opponent loses 2 Health, and next round they lose 1 Sword and 1 Shield.
Blacksmith	Blacksmith
Blacksmith_TextOne	DEFEND: -2 Sword and -2 Shield -> +1 Card and +1 Action.
Vassal	Vassal
Vassal_TextOne	DEFEND: Another Ally loses 3 Health -> An Ally becomes Protected this round.
Mercenary	Mercenary
Mercenary_TextOne	ATTACK: -1 Action -> An Opponent or Foe loses 4 Health.
Mercenary_TextTwo	PLAY: Next round, -1 Sword and -1 Shield.
Leprechaun	Leprechaun
Leprechaun_TextOne	DEFEND: If you have exactly 7 Allies, +2 Sword and +2 Shield; otherwise you lose 2 Health.
Berserker	Berserker
Berserker_TextOne	ATTACK: Opponent loses 3 Health.
Berserker_TextTwo	PLAY: Next round, -1 Action.
Barbarian	Barbarian
Barbarian_TextOne	ATTACK: -1 Action -> One Foe with 5 Health or more loses 4 Health.
Recruiter	Recruiter
Recruiter_TextOne	DEFEND: +1 Action.
Recruiter_TextTwo	ATTACK: -2 Card -> Opponent loses 1 Health per Ally you have.
Mob	Mob
Mob_TextOne	ATTACK: -1 Card -> A Foe loses 1 Health per Health this has.
Bishop	Bishop
Bishop_TextOne	DEFEND: -3 Shield -> An Ally's Health is raised to 4.
Hunter	Hunter
Hunter_TextOne	ATTACK: Opponent loses 4 Health. A Foe becomes Protected this round and next round.
Researcher	Researcher
Researcher_TextOne	DEFEND: Next round, -1 Sword and -1 Shield.
Researcher_TextTwo	PLAY: +2 Card.
Golem	Golem
Golem_TextOne	ATTACK: If you have 10 Health or less, an Opponent or Foe loses 3 Health.
Golem_TextTwo	PLAY: You lose 2 Health.
Balancer	Balancer
Balancer_TextOne	DEFEND: An Ally gets +3 Health. An Ally loses 3 Health.
Balancer_TextTwo	ATTACK: A Foe gets +3 Health. A Foe loses 3 Health.
Farmer	Farmer
Farmer_TextOne	DEFEND: -4 Shield -> Both you and an Ally get +2 Health.
Captain	Captain
Captain_TextOne	ATTACK: -3 Shield -> An Opponent or Foe loses 1 Health per Ally you have with a Defend ability.
Storyteller	Storyteller
Storyteller_TextOne	DEFEND: -3 Sword -> You or an Ally gets +1 Health per Ally you have with an Attack ability.
Royalty	Royalty
Royalty_TextOne	DEFEND: -2 Shield -> Choose an Ally; you get +1 Health per 2 Health it has (round down).
Update_0	Dec 28, 2025
Update_0_Text	New translation features - you can download the English translation file and upload your own translation
Update_History	Update History
Upload_Translation	Upload Translation
Download_English	Download English
